GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G10884077,S155739383,GJ-KU-BHU-155
G10889367,S155739384,GJ-KU-ANJ-003
G10883963,S155739385,GJ-KU-NAK-016
G10883408,S155739386,GJ-KU-LIT-031
G10883222,S155739387,GJ-KU-BHA-048
G10884078,S155739388,GJ-KU-BHU-145
G10889808,S155739389,GJ-KU-RAN-324
G10889809,S155739390,GJ-KU-RAN-270
G10882646,S155739391,GJ-KU-BHA-058
G10882639,S155739392,GJ-KU-BHA-073
G10880557,S155739394,GJ-KU-BHU-120
G10880548,S155739395,GJ-KU-BHU-111
G10880414,S155739396,GJ-KU-MAN-008
G10880416,S155739397,GJ-KU-MAN-024
G10878489,S155739398,GJ-KU-MAN-043
G10878490,S155739399,GJ-KU-MAN-021
G10880284,S155739400,GJ-KU-MAN-048
G10878491,S155739401,GJ-KU-MAN-013
G10880188,S155739403,GJ-KU-MAN-029
G10884443,S155739404,GJ-KU-ABD-044
G10884444,S155739405,GJ-KU-ABD-023
G10884445,S155739406,GJ-KU-ABD-013
G10884446,S155739407,GJ-KU-ABD-021
G10879679,S155739408,GJ-KU-RAP-060
G10879669,S155739409,GJ-KU-BHA-021
G10879670,S155739410,GJ-KU-BHA-027
G10879640,S155739412,GJ-KU-BHA-024
G10879637,S155739413,GJ-KU-BHA-032
G10879627,S155739414,GJ-KU-BHA-018
G10880675,S155739415,GJ-KU-LAK-075
G10880676,S155739416,GJ-KU-ABD-008
G10879335,S155739417,GJ-KU-GAN-004
G10879452,S155739418,GJ-KU-BHA-005
G11190399,S155739419,GJ-KU-NAK-014
G10879453,S155739420,GJ-KU-BHA-011
G10879454,S155739421,GJ-KU-BHA-011
G10879173,S155739422,GJ-KU-ABD-079
G10879172,S155739423,GJ-KU-ABD-070
G10880463,S155739424,GJ-KU-NAK-063
G10880464,S155739425,GJ-KU-NAK-057
G10879087,S155739426,GJ-KU-MUN-003
G10879388,S155739427,GJ-KU-ANJ-001
G10880017,S155739428,GJ-KU-ABD-043
G10878797,S155739429,GJ-KU-LAK-007
G10878756,S155739430,GJ-KU-LAK-015
G10878727,S155739431,GJ-KU-RAP-089
G10879086,S155739432,GJ-KU-BHU-168
G10884192,S155739433,GJ-KU-NAK-007
G10883411,S155739434,GJ-KU-RAP-082
G10878604,S155739435,GJ-KU-ANJ-005
G10879245,S155739436,GJ-KU-BHU-053
G10878534,S155739437,GJ-KU-BHA-028
G10880016,S155739438,GJ-KU-ABD-027
G10878507,S155739439,GJ-KU-BHA-036
G10879336,S155739440,GJ-KU-ANJ-043
G10879337,S155739441,GJ-KU-ANJ-039
G10879338,S155739442,GJ-KU-MUN-023
G10878603,S155739444,GJ-KU-ANJ-008
G10910222,S155739445,GJ-KU-LIT-023
G10878605,S155739446,GJ-KU-ANJ-011
G10878366,S155739447,GJ-KU-ABD-072
G10878365,S155739448,GJ-KU-ABD-062
G10878340,S155739449,GJ-KU-ABD-060
G10878307,S155739450,GJ-KU-RAP-088
G10878281,S155739451,GJ-KU-LAK-020
G10880468,S155739453,GJ-KU-ABD-065
G10880467,S155739454,GJ-KU-ABD-054
G10878343,S155739455,GJ-KU-MUN-008
G11190401,S155739456,GJ-KU-BHU-055
G10880672,S155739457,GJ-KU-LAK-070
G10878602,S155739458,GJ-KU-ANJ-013
G10878244,S155739459,GJ-KU-BHU-161
G10878159,S155739460,GJ-KU-MUN-007
G10883415,S155739461,GJ-KU-LIT-014
G10878133,S155739462,GJ-KU-RAP-077
G10880018,S155739463,GJ-KU-NAK-043
G10880671,S155739464,GJ-KU-LAK-052
G10878018,S155739466,GJ-KU-MUN-011
G10878090,S155739467,GJ-KU-GAN-001
G10878242,S155739468,GJ-KU-BHU-152
G10883419,S155739469,GJ-KU-RAP-047
G10877919,S155739470,GJ-KU-RAP-085
G12984460,S195894149,GJ-KU-RAN-078
G10917746,S224029358,GJ-KU-MAN-009
G10917745,S224029363,GJ-KU-MAN-003
G10908072,S224029371,GJ-KU-MAN-037
G10908073,S224029380,GJ-KU-MAN-027
G10908071,S224029385,GJ-KU-ABD-093
G10908070,S224029391,GJ-KU-ABD-083
G10908069,S224029394,GJ-KU-MAN-018
